Id,Predicted
0,104.438234
1,372.637024
2,101.375527
3,397.516884
4,103.318863
5,427.82916
6,106.622577
7,457.54634
8,116.48252099999999
9,483.01646
10,129.776344
11,510.64934
12,146.03569
13,534.92511
14,162.878624
15,553.96704
16,185.47543000000002
17,562.4982299999999
18,212.34268
19,562.26007
20,239.9837
21,548.87273
22,266.04475
23,531.47232
24,293.51038
25,511.99783
26,312.26791000000003
27,485.50194999999997
28,324.41823999999997
29,455.10541
30,331.47429999999997
31,421.77221
32,337.19167
33,389.47467
34,126.12287
35,340.437496
36,138.29692
37,330.80512
38,151.786186
39,328.807796
40,169.640755
41,334.254677
42,183.42557
43,342.87191
44,219.30475
45,349.138847
46,241.43527
47,342.195446
48,265.48114
49,341.527775
50,287.2283
51,347.61274000000003
52,302.29598999999996
53,362.0135
54,198.47365000000002
55,372.86638
56,192.82165500000002
57,391.653465
58,188.314
59,412.178406
60,181.29725000000002
61,431.30318
62,167.38067
63,442.61280999999997
64,176.20542
65,449.3129
66,185.64451
67,454.61519999999996
68,199.34941
69,453.11142
70,211.90485
71,450.51703
72,144.453655
73,367.01340500000003
74,154.436676
75,362.71539
76,166.238785
77,363.73335
78,181.16433999999998
79,377.68941
80,164.21935000000002
81,376.20083
82,153.836166
83,374.186295
84,233.88345
85,385.08471
86,247.97781
87,374.09251
88,262.90408
89,377.90092
90,278.05988
91,386.93534
92,262.85648000000003
93,390.114365
94,245.78767
95,388.414085
96,157.58471
97,481.88041999999996
98,164.04338
99,473.96028
100,176.549095
101,471.42601
102,186.38846
103,475.56668
104,195.544365
105,474.55757
106,213.51779
107,481.88913
108,238.18982
109,494.27376000000004
110,214.23933399999999
111,506.49442999999997
112,196.6371
113,512.5508600000001
114,185.02025
115,511.48276
116,176.50735
117,508.87946
118,164.27696
119,500.7954
120,161.95816000000002
121,484.16895
122,175.86930999999998
123,480.88394
124,185.18114
125,483.75946
126,196.180756
127,484.46904
128,229.33401
129,494.11186
130,195.2745
131,496.96431
132,185.64906000000002
133,495.82852
134,176.24466
135,493.18433
136,317.55933014285716
137,353.2346001428572
138,313.0714571428572
139,385.4981971428572
140,312.0260671428572
141,420.37618714285713
142,312.81098414285714
143,453.75801714285717
144,322.02545414285714
145,485.8621671428572
146,337.84927414285715
147,512.0997571428571
148,361.95333714285715
149,534.2455771428572
150,386.9271821428572
151,551.4310671428572
152,412.6822271428572
153,558.2793971428572
154,441.4472621428572
155,558.1210371428572
156,465.3541271428572
157,545.3041471428571
158,488.95056714285715
159,526.3543471428571
160,508.76535714285717
161,507.94040714285717
162,526.6992871428572
163,483.54415714285716
164,540.1119571428571
165,459.0114571428571
166,549.8745571428572
167,431.94209714285716
168,555.7291071428572
169,402.7895321428572
170,361.23606514285717
171,337.0691631428572
172,380.59100714285717
173,328.50097614285716
174,404.47256114285716
175,330.63833514285716
176,425.64493214285716
177,337.3958461428572
178,445.43205714285716
179,348.79314314285716
180,485.11105714285713
181,358.85744714285715
182,503.86165714285715
183,355.73213214285715
184,525.1619071428572
185,355.98172414285716
186,545.8326771428572
187,360.95373714285716
188,554.2526571428572
189,377.02911714285716
190,460.41400714285714
191,379.04901714285717
192,455.75973714285715
193,401.3700911428572
194,451.30334114285716
195,423.4515471428572
196,445.9555971428572
197,442.97665714285716
198,417.6035171428572
199,445.7200971428572
200,429.7761171428572
201,454.7152271428572
202,440.1763071428572
203,462.33429714285717
204,453.77916714285715
205,460.66037714285716
206,465.2921471428572
207,456.98165714285716
208,382.55228114285717
209,364.2318071428572
210,398.7496371428572
211,360.7445721428572
212,411.8360411428572
213,364.3945811428572
214,424.79253714285716
215,376.8876471428572
216,408.40605714285715
217,376.2409941428572
218,393.66083214285715
219,371.73096714285714
220,485.6818271428572
221,391.27312714285716
222,502.28027714285713
223,385.3267971428572
224,517.4698571428571
225,388.9393471428572
226,529.3017771428572
227,398.68584714285714
228,514.4883771428572
229,400.05237714285715
230,498.78969714285716
231,395.97465714285715
232,384.82849714285715
233,472.64706714285717
234,402.63050714285714
235,472.31881714285714
236,422.51736114285717
237,474.92221714285716
238,435.7186371428572
239,481.9377171428572
240,447.04325714285716
241,479.90216714285714
242,462.49354714285715
243,486.26396714285715
244,480.47226714285716
245,495.78027714285713
246,460.0415371428572
247,508.11244714285715
248,442.6740371428572
249,511.14805714285717
250,426.9836011428572
251,510.9179071428572
252,415.2280471428572
253,505.6285571428572
254,397.3544871428572
255,494.9130271428572
256,391.0055171428572
257,477.44876714285715
258,419.87028214285715
259,483.42692714285715
260,432.91156714285717
261,487.78463714285715
262,445.1224771428572
263,489.21445714285716
264,472.10519714285715
265,495.9816971428572
266,443.36735714285714
267,497.11133714285717
268,431.82220714285717
269,496.49037714285714
270,418.21776714285716
271,491.23343714285716
272,59.955059
273,102.58772171428572
274,64.62954500000001
275,132.5401557142857
276,71.3840923
277,165.70384571428573
278,80.793413
279,196.71288571428573
280,95.725552
281,226.89674571428571
282,114.607765
283,249.23262571428572
284,141.94957
285,269.4632957142857
286,170.54793999999998
287,284.06728571428573
288,198.42175
289,286.8394357142857
290,228.97075
291,282.0771257142857
292,252.63268
293,266.2207557142857
294,272.5202
